Name,OriginID,DestinationID,DestinationRank,Total_Minutes,Total_TimeAt1KPH,Total_TravelTime,Total_TruckMinutes,Total_TruckTravelTime,Total_WalkTime,Total_Kilometers,Total_Miles,Shape_Length
Location 123 - Location 2,123,2,1,,,13.381316172721222,,,,15.073894610942979,,0.151881450076795
Location 124 - Location 4,124,4,1,,,13.602330869763241,,,,7.283570850147357,,0.055098520247313
Location 125 - Location 4,125,4,1,,,10.992841937435879,,,,5.909337193734038,,0.042136331330884
Location 125 - Location 3,125,3,2,,,14.633580724405746,,,,8.162816197640289,,0.073735671222444
Location 126 - Location 2,126,2,1,,,8.056199437295286,,,,5.988866841800049,,0.039535061268938
Location 127 - Location 1,127,1,1,,,13.316542384048599,,,,6.400539805724326,,0.039089588167204
Location 127 - Location 2,127,2,2,,,14.785303507832813,,,,14.880271594013728,,0.164790552050387
Location 128 - Location 3,128,3,1,,,11.671652950167910,,,,7.245798517717702,,0.072396554849091
Location 131 - Location 2,131,2,1,,,7.233311918296938,,,,3.265855648449298,,0.024096531787917
Location 132 - Location 2,132,2,1,,,13.979721658285371,,,,7.251483292723289,,0.062923022135998
Location 133 - Location 3,133,3,1,,,11.108950664245230,,,,5.805571981298455,,0.059889906123326
Location 133 - Location 4,133,4,2,,,11.491645671569447,,,,5.693564840185173,,0.051907971068712
Location 134 - Location 2,134,2,1,,,8.608117555414049,,,,8.597439507560924,,0.086167708354579
Location 135 - Location 2,135,2,1,,,6.522121284309864,,,,5.843364697012470,,0.055606507848371
Location 136 - Location 2,136,2,1,,,13.294343583038049,,,,14.285969506963800,,0.135884419406987
Location 137 - Location 1,137,1,1,,,9.801218161386791,,,,3.382037091484783,,0.031258274020085
Location 138 - Location 2,138,2,1,,,13.356861875118488,,,,12.540313465784548,,0.116028181255676
Location 139 - Location 2,139,2,1,,,14.262464514012802,,,,7.322867556698708,,0.064896949976895
Location 142 - Location 3,142,3,1,,,8.709688862677165,,,,4.281074507226696,,0.037013487750107
Location 144 - Location 3,144,3,1,,,14.811029052734376,,,,8.659164428710938,,0.066732236233059
Location 146 - Location 3,146,3,1,,,2.843107802446298,,,,1.170948150929079,,0.010655222735490
Location 147 - Location 4,147,4,1,,,11.735878033865415,,,,8.646598915245413,,0.073185051096788
Location 148 - Location 3,148,3,1,,,7.935257120657927,,,,3.653185045133569,,0.030756853913080
Location 149 - Location 1,149,1,1,,,12.792577615067039,,,,4.894942774918606,,0.038351354981102
Location 151 - Location 4,151,4,1,,,11.304411948448955,,,,5.778879543369965,,0.047937764688805
Location 154 - Location 1,154,1,1,,,10.767855613034707,,,,3.852586751744634,,0.025567541334147
Location 156 - Location 2,156,2,1,,,9.300884972463434,,,,4.557247355026526,,0.033232692225635
Location 158 - Location 4,158,4,1,,,11.070379652642821,,,,4.902547699010029,,0.034194059778877
Location 159 - Location 8,159,8,1,,,14.196450490869687,,,,10.093204299057341,,0.087056642910492
Location 160 - Location 4,160,4,1,,,9.408205384449992,,,,3.753802715034591,,0.029475773308214
Location 161 - Location 3,161,3,1,,,14.513128662109375,,,,7.124309539794922,,0.050053522610432
Location 163 - Location 2,163,2,1,,,13.043390740690066,,,,6.744599665652737,,0.043266531101325
Location 164 - Location 2,164,2,1,,,13.260302702943203,,,,7.485270710285334,,0.058996433420220
Location 166 - Location 2,166,2,1,,,12.128344985646837,,,,12.991747805181442,,0.123694143128929
Location 168 - Location 4,168,4,1,,,13.529388187945138,,,,10.728554480480520,,0.052373012926817
Location 169 - Location 2,169,2,1,,,4.272248763844521,,,,1.904277142860845,,0.014843150872781
Location 170 - Location 2,170,2,1,,,9.400577018742583,,,,6.634554087409723,,0.057447931792075
Location 171 - Location 3,171,3,1,,,11.788293103243873,,,,6.134766524323478,,0.058475600571833
Location 172 - Location 3,172,3,1,,,8.236070548481944,,,,3.723893478388215,,0.033072428991297
Location 174 - Location 2,174,2,1,,,12.377528381116182,,,,6.814182281446434,,0.054037777380140
Location 175 - Location 4,175,4,1,,,13.756620788574217,,,,7.192916870117188,,0.056502183813138
Location 176 - Location 4,176,4,1,,,7.892076442762241,,,,2.909061991301283,,0.015523106167689
Location 179 - Location 1,179,1,1,,,7.011105022438839,,,,2.245223459614743,,0.016154952085845
Location 180 - Location 2,180,2,1,,,7.904250829426249,,,,8.381799955973031,,0.084120939593653
Location 183 - Location 4,183,4,1,,,10.252181960709530,,,,5.320147452878800,,0.043708490035211
Location 185 - Location 2,185,2,1,,,14.974250781660007,,,,13.483443764811412,,0.122448307169848
Location 187 - Location 3,187,3,1,,,14.254957351817588,,,,8.259180083579333,,0.055298970352097
Location 188 - Location 2,188,2,1,,,13.061821437781585,,,,8.337136049306526,,0.056358023637042
Location 190 - Location 3,190,3,1,,,7.636717390815263,,,,3.355705211855923,,0.022923350187684
Location 193 - Location 1,193,1,1,,,11.746946273445253,,,,4.953839073479296,,0.038984030204940
Location 194 - Location 3,194,3,1,,,9.270145705600047,,,,4.976427828718433,,0.052673420579565
Location 194 - Location 4,194,4,2,,,12.717652775266888,,,,6.552289212297192,,0.058639087456759
Location 195 - Location 4,195,4,1,,,6.634901078046379,,,,2.071504080958517,,0.013640232158598
Location 197 - Location 4,197,4,1,,,11.661393454006557,,,,9.737389752100235,,0.084976395809861
Location 199 - Location 3,199,3,1,,,10.975213512410102,,,,6.390645268842828,,0.047139701079565
Location 202 - Location 4,202,4,1,,,10.039523402473833,,,,4.106599763262890,,0.032166369508348
Location 203 - Location 4,203,4,1,,,14.341468093897996,,,,6.136883616368596,,0.050452769190964
Location 203 - Location 3,203,3,2,,,14.722055099513231,,,,8.901650309483831,,0.072727490315783
Location 204 - Location 7,204,7,1,,,12.943771198192874,,,,6.673073019187471,,0.044521810891881
