DAUID,Median_income_2020,Population_2021,Total_households
35060978,76000,792,310
35060979,25200,670,480
35060984,61200,501,200
35060985,61600,459,130
35060986,71000,506,140
35060987,54800,491,175
35060988,98000,672,255
35060989,28200,607,270
35060990,57200,467,145
35060991,104000,611,280
35061001,58000,843,465
35061018,75000,509,265
35061019,52800,397,240
35061020,69500,859,630
35061026,87000,467,220
35061027,69000,310,155
35061030,80000,550,300
35061031,100000,721,360
35061033,190000,491,175
35061034,159000,479,175
35061035,182000,421,155
35061036,162000,581,215
35061039,72000,647,330
35061041,24200,599,430
35061042,59600,694,305
35061043,78500,577,270
35061044,69500,419,205
35061045,75000,512,230
35061046,64000,595,270
35061047,108000,751,300
35061051,142000,537,210
35061053,143000,575,215
35061054,182000,431,155
35061055,108000,691,275
35061056,118000,709,220
35061057,,242,95
35061067,120000,637,255
35061069,115000,338,125
35061070,105000,621,290
35061071,62800,587,290
35061072,95000,486,200
35061073,58000,599,200
35061074,74500,489,230
35061075,22200,486,350
35061076,75500,492,220
35061077,79000,551,255
35061078,75000,663,210
35061079,45600,552,270
35061080,44800,425,180
35061081,40000,963,365
35061082,52000,501,245
35061083,75500,627,285
35061084,57600,536,225
35061085,87000,457,150
35061086,64000,893,425
35061087,105000,569,255
35061089,214000,659,235
35061090,106000,632,185
35061091,108000,431,190
35061092,188000,542,180
35061094,141000,663,265
35061097,153000,412,155
35061098,78500,880,380
35061100,103000,463,160
35061101,124000,366,145
35061102,110000,455,170
35061103,166000,351,135
35061104,62400,1367,495
35061105,87000,783,335
35061106,133000,517,210
35061107,102000,525,145
35061108,85000,566,130
35061113,112000,814,305
35061114,135000,452,175
35061115,121000,467,170
35061116,136000,294,105
35061117,168000,612,210
35061118,126000,551,195
35061119,154000,975,315
35061120,72000,303,150
35061121,89000,301,115
35061122,123000,637,230
35061123,111000,653,230
35061124,105000,861,335
35061125,115000,333,140
35061126,126000,413,150
35061127,135000,875,300
35061128,127000,477,160
35061129,115000,397,155
35061130,121000,644,220
35061131,123000,799,280
35061132,115000,476,180
35061133,119000,874,330
35061134,131000,695,255
35061135,118000,697,255
35061136,118000,379,145
35061137,125000,454,160
35061138,123000,355,130
35061140,138000,1312,495
35061141,125000,807,290
35061142,107000,326,130
35061143,139000,982,345
35061144,110000,410,170
35061145,105000,380,160
35061146,103000,440,180
35061147,108000,1328,565
35061148,170000,1401,445
35061149,127000,792,280
35061150,134000,732,250
35061151,150000,524,175
35061152,137000,280,95
35061153,143000,350,130
35061154,106000,488,180
35061155,133000,459,155
35061156,136000,367,140
35061157,154000,408,135
35061158,113000,522,195
35061159,80000,733,345
35061160,108000,775,305
35061161,113000,646,250
35061171,129000,388,120
35061174,69000,382,205
35061175,88000,513,240
35061178,160000,611,225
35061179,121000,609,245
35061180,77000,527,280
35061181,110000,521,220
35061182,46000,576,330
35061183,164000,520,190
35061184,98000,493,215
35061185,100000,540,230
35061186,212000,495,155
35061188,71500,440,235
35061189,59600,788,500
35061190,55600,1649,1125
35061191,70500,565,335
35061192,70500,791,380
35061193,105000,650,290
35061194,118000,483,190
35061195,106000,466,205
35061196,49600,506,335
35061197,60800,830,390
